HGNC,BaseMean,log2FC,StdErr,Wald-Stats,P-value,P-adj
NUP153,326.614879207631,-0.904005324219194,0.158948804929411,-5.68739931464513,1.28988605425314E-08,1.55949527327158E-06
C19orf70,1637.45662015539,0.610859804938341,0.107766351652501,5.6683723218922,1.44160435414752E-08,1.71234776837821E-06
PUM2,686.665092985327,-0.733201920939265,0.129348392011816,-5.66842702514838,1.44114425813002E-08,1.71234776837821E-06
AGTRAP,1284.72048044185,0.714249715896412,0.126059150243455,5.66598866101349,1.4617919204819E-08,1.72122820828221E-06
DEDD2,349.610856615069,0.779851948510357,0.137756031192781,5.66110929414773,1.50397597010788E-08,1.7556326388992E-06
HEG1,1128.2952803979,-0.559105361075983,0.098866387377478,-5.65516123231333,1.55700042427323E-08,1.80199510641742E-06
,382.403896094082,-0.791248971631359,0.14009975897368,-5.64775398207509,1.62557575505438E-08,1.8654170592535E-06
SFN,519.602312631099,0.951897046183814,0.168833354158975,5.63808644876828,1.71950186477358E-08,1.95661972696631E-06
BCOR,349.21750276153,-1.02672216531696,0.182181204811563,-5.63571948258292,1.74328955186347E-08,1.9671569851486E-06
DGAT1,613.651803902102,0.674861022723135,0.120036042118845,5.62215323673342,1.88591860107965E-08,2.11051436175368E-06
CCDC124,6245.44905690323,0.537119684324317,0.095686316215188,5.61333851662128,1.98459808083478E-08,2.20274119775277E-06
PPP2CA,1831.46097819022,-0.575741689396904,0.102673416909557,-5.60750490951385,2.05264192267255E-08,2.25974181096822E-06
MED13,261.745006244356,-0.967589791954761,0.172864668770508,-5.59738319482343,2.17611368795594E-08,2.37635124585576E-06
ARL2,1505.11015145275,0.655291378591495,0.117117211115515,5.59517574189134,2.20398402498909E-08,2.38072388374039E-06
CCNB1,1973.62070891875,-0.563252530878936,0.100683494108966,-5.59428867525545,2.21528106750823E-08,2.38072388374039E-06
RBM27,525.944065339213,-0.645821320451397,0.115637416119757,-5.58488197092339,2.33858983484528E-08,2.49345235855433E-06
SERINC2,566.225881565047,0.698218494191479,0.125218679775875,5.57599309816394,2.46121684659333E-08,2.60369822810315E-06
TAF6L,644.595030130119,0.694538179560388,0.124680715883754,5.57053410094261,2.53959602077261E-08,2.66578835017689E-06
SMPD1,1762.74107283396,0.62173919272965,0.111641315385762,5.56907799394255,2.56090841467157E-08,2.6674816033129E-06
NAT14,659.079414257667,0.628646044962303,0.112942813233716,5.56605619218488,2.60569248031965E-08,2.69341083022964E-06
SPTY2D1,365.801380249037,-0.819798590696864,0.147689666826854,-5.55081887792437,2.84334556347989E-08,2.91679865720312E-06
PCF11,334.879794855813,-0.898121360846319,0.162180039571398,-5.53780454869681,3.06286791773043E-08,3.11836800556299E-06
SERTAD3,130.288994339298,-1.08491926366505,0.196339911193746,-5.525719437626,3.28138153725225E-08,3.31590950715915E-06
SLC48A1,1099.57197382628,0.563135247432982,0.101959416871345,5.52313130766099,3.33010668973703E-08,3.34022034709105E-06
ARID4A,56.0423758422197,-1.25969838708121,0.228311324073446,-5.51745907564346,3.43936141618986E-08,3.42444065710492E-06
MAP4K1,237.339367778528,0.818251601487315,0.148703651219812,5.50256563826927,3.74303801428312E-08,3.69959691616115E-06
ARID2,215.942039912334,-0.94072364804811,0.171181868761887,-5.49546312849669,3.89686360988944E-08,3.82372682184876E-06
USP43,128.462730809699,-1.06706990996589,0.194530724797924,-5.4853541057555,4.12641994308071E-08,3.93491918656732E-06
ZNF134,124.950263022589,-1.07238210028286,0.195485784677674,-5.48572931812436,4.11767004083055E-08,3.93491918656732E-06
BHLHE40,279.586972742489,-1.05298664261273,0.191838028412415,-5.48893590768672,4.04362302863076E-08,3.93491918656732E-06
RAPGEF2,146.672343202523,-0.99025584883276,0.180514987961245,-5.4857264763265,4.11773624351493E-08,3.93491918656732E-06
CCDC94,653.566643874811,0.676099904319919,0.123317884541665,5.4825778664042,4.19172402343315E-08,3.9692402098817E-06
PAQR4,276.759496619774,0.767941771586054,0.140328071325387,5.47247435479521,4.43794998339461E-08,4.15812585957286E-06
SPR,895.023621162347,0.596291540804076,0.108973598351609,5.47188997907647,4.45261243363167E-08,4.15812585957286E-06
AXIN2,371.310516332571,-0.992847733425646,0.181655820930255,-5.46554318128259,4.61491427053742E-08,4.28017494091419E-06
ZDHHC8,656.277710126797,0.626937423967292,0.115085659569165,5.44757206340299,5.10620296265366E-08,4.67183069711441E-06
CLU,10421.1539448514,0.603052243048958,0.110688701947387,5.44818244716255,5.08871453934829E-08,4.67183069711441E-06
IFI35,208.273379967224,0.886067867553286,0.162946788311892,5.43777436016281,5.39502364601744E-08,4.89416974435434E-06
AFF4,970.797545901326,-0.685263581636781,0.126039353334318,-5.43690175733546,5.42150108303043E-08,4.89416974435434E-06
TMEM205,2227.63969752819,0.604101698240564,0.111216470177212,5.43176471324785,5.57994643338509E-08,5.00384467910381E-06
TFAP2C,1915.77549790995,-0.63806817881485,0.117658934929907,-5.42303208162614,5.85964707578208E-08,5.22009743770824E-06
VANGL1,307.119952037857,-0.859893932860446,0.158872825007074,-5.41246706491283,6.21622908766166E-08,5.47541429344968E-06
GPRIN1,263.794815913399,0.79309313841109,0.146556684850128,5.41151117891431,6.24950922421214E-08,5.47541429344968E-06
SLC27A4,2247.07030044299,0.554087116057514,0.102400226830735,5.41099500661657,6.26755199383133E-08,5.47541429344968E-06
DNAJB2,3125.24048662274,0.482254320450216,0.089147054365276,5.40964952665965,6.31482071563338E-08,5.48134534040972E-06
XAB2,2751.79628335556,0.530765497089757,0.098168327531735,5.40668778245381,6.42009129389784E-08,5.5372265102338E-06
CYP27A1,387.20399027561,0.7432917326249,0.138188955668667,5.3788070763562,7.49810042251772E-08,6.42606188742484E-06
SLC34A2,101.973097662223,1.00904378228666,0.187795375776322,5.37310238931818,7.73933521538659E-08,6.591090449783E-06
PPTC7,739.858625190921,-0.591573369709396,0.110124994236303,-5.37183564741001,7.79391304531876E-08,6.59608603416633E-06
SIL1,1202.75290162505,0.572531247337897,0.106707759547424,5.36541344102952,8.07640051293024E-08,6.7927043071794E-06
PCED1A,595.635684712508,0.64085846496907,0.119817396478565,5.34862619122021,8.86243730370384E-08,7.3623474557947E-06
THEM6,1273.93505389684,0.579286252924847,0.108300784153696,5.34886480695049,8.85076230834839E-08,7.3623474557947E-06
CEP55,610.53965015401,-0.644272585402329,0.120549096958162,-5.34448288423043,9.06755432858227E-08,7.48681421727637E-06
SNAPC1,523.086139785099,-0.85031550847449,0.15918820796647,-5.34157347040172,9.21432564179185E-08,7.54536889613339E-06
HGS,2663.81784179178,0.545001642762544,0.102057439096943,5.34014617243978,9.28716693664537E-08,7.54536889613339E-06
GZF1,259.889619988194,-0.80828022874379,0.151369406592361,-5.33978593785794,9.30563921168507E-08,7.54536889613339E-06
KIAA1551,567.165038812588,-0.823402541804909,0.154439383300392,-5.33155807934919,9.73736677868967E-08,7.72196953841801E-06
VPS18,736.518499911276,0.618717275962317,0.116039501141568,5.33195394564375,9.71615832805119E-08,7.72196953841801E-06
CNPPD1,645.456609072212,0.598194759069536,0.112204423813835,5.33129388964234,9.75154561014312E-08,7.72196953841801E-06
SALL4,337.39322689766,-0.868998513635571,0.16293348308307,-5.33345569733213,9.63610813652133E-08,7.72196953841801E-06
KCNG1,824.37768201842,0.628983458832727,0.118202644045916,5.32123002754825,1.03067979396538E-07,8.11420644772399E-06
TRIM71,509.2952328575,-0.703296167660856,0.132325408875627,-5.31489888175511,1.06716570985681E-07,8.3528849000989E-06
